Samples,Temperature,TempC
808,73.09,22.83
809,73.09,22.83
810,73.08,22.82
811,73.08,22.82
812,73.06,22.81
813,73.06,22.81
814,73.08,22.82
815,73.08,22.82
816,73.06,22.81
817,73.08,22.82
818,73.05,22.80
819,73.08,22.82
820,73.06,22.81
821,73.08,22.82
822,73.08,22.82
823,73.08,22.82
824,73.09,22.83
825,73.09,22.83
826,73.08,22.82
827,73.10,22.84
828,73.09,22.83
829,73.10,22.84
830,73.09,22.83
831,73.10,22.84
832,73.09,22.83
833,73.10,22.84
834,73.09,22.83
835,73.09,22.83
836,73.09,22.83
837,73.09,22.83
838,73.09,22.83
839,73.09,22.83
840,73.08,22.82
841,73.09,22.83
842,73.08,22.82
843,73.06,22.81
844,73.08,22.82
845,73.09,22.83
846,73.09,22.83
847,73.09,22.83
848,73.08,22.82
849,73.09,22.83
850,73.08,22.82
851,73.09,22.83
852,73.09,22.83
853,73.09,22.83
854,73.09,22.83
855,73.08,22.82
856,73.09,22.83
857,73.08,22.82
858,73.06,22.81
859,73.06,22.81
860,73.06,22.81
861,73.06,22.81
862,73.03,22.80
863,73.05,22.80
864,73.05,22.80
865,73.05,22.80
866,73.05,22.80
867,73.03,22.80
868,73.05,22.80
869,73.05,22.80
870,73.05,22.80
871,73.05,22.80
872,73.05,22.80
873,73.05,22.80
874,73.06,22.81
875,73.06,22.81
876,73.06,22.81
877,73.08,22.82
878,73.06,22.81
879,73.08,22.82
880,73.08,22.82
881,73.08,22.82
882,73.08,22.82
883,73.08,22.82
884,73.08,22.82
885,73.09,22.83
886,73.09,22.83
887,73.08,22.82
888,73.08,22.82
889,73.08,22.82
890,73.08,22.82
891,73.08,22.82
892,73.08,22.82
893,73.08,22.82
894,73.08,22.82
895,73.08,22.82
896,73.06,22.81
897,73.08,22.82
898,73.05,22.80
899,73.05,22.80
900,73.05,22.80
901,73.05,22.80
902,73.05,22.80
903,73.05,22.80
904,73.05,22.80
905,73.05,22.80
906,73.05,22.80
907,73.05,22.80
908,73.03,22.80
909,73.05,22.80
910,73.05,22.80
911,73.05,22.80
912,73.05,22.80
913,73.06,22.81
914,73.06,22.81
915,73.06,22.81
916,73.06,22.81
917,73.08,22.82
918,73.08,22.82
919,73.08,22.82
920,73.08,22.82
921,73.08,22.82
922,73.06,22.81
923,73.06,22.81
924,73.06,22.81
925,73.06,22.81
926,73.06,22.81
927,73.06,22.81
928,73.06,22.81
929,73.06,22.81
930,73.06,22.81
931,73.06,22.81
932,73.06,22.81
933,73.08,22.82
934,73.08,22.82
935,73.08,22.82
936,73.08,22.82
937,73.08,22.82
938,73.08,22.82
939,73.08,22.82
940,73.09,22.83
941,73.09,22.83
942,73.09,22.83
943,73.09,22.83
944,73.08,22.82
945,73.06,22.81
946,73.06,22.81
947,73.06,22.81
948,73.06,22.81
949,73.06,22.81
950,73.06,22.81
951,73.08,22.82
952,73.08,22.82
953,73.09,22.83
954,73.08,22.82
955,73.09,22.83
956,73.08,22.82
957,73.08,22.82
958,73.09,22.83
959,73.09,22.83
960,73.09,22.83
961,73.10,22.84
962,73.09,22.83
963,73.12,22.84
964,73.10,22.84
965,73.10,22.84
966,73.12,22.84
967,73.09,22.83
968,73.10,22.84
969,73.10,22.84
970,73.10,22.84
971,73.12,22.84
972,73.12,22.84
973,73.10,22.84
974,73.12,22.84
975,73.12,22.84
976,73.12,22.84
977,73.12,22.84
978,73.12,22.84
979,73.12,22.84
980,73.12,22.84
981,73.12,22.84
982,73.10,22.84
983,73.12,22.84
984,73.10,22.84
985,73.12,22.84
986,73.10,22.84
987,73.10,22.84
988,73.10,22.84
989,73.12,22.84
990,73.12,22.84
991,73.12,22.84
992,73.12,22.84
993,73.13,22.85
994,73.12,22.84
